Explicit URL,Type,Published,Is featured?,Visibility in catalog,Tax status,In stock?,Backorders allowed?,Sold individually?,Allow customer reviews?,Parent,Categories,Name,Regular price,Description,Images,SKU,Lifestage,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global
https://www.petco.com/shop/en/petcostore/product/blue-buffalo-wilderness-chicken-adult-dry-dog-food,variable,1,0,visible,none,1,0,1,1,,Home > Dog > Dog Food > Dog Food Flavors > Chicken & Rice Dog Food,Blue Buffalo Wilderness Natural Adult High Protein Grain Free Chicken Dry Dog Food,,"BLUE Wilderness Adult Dry Dog Food is made with more of the meat they love to satisfy the spirit of the wolf in every dog. This Grain Free recipe features a precise balance of carbohydrates and calories to support your dog's daily dietary needs. BLUE Wilderness dog food is a product of the Blue Buffalo company. Based in the United States, Blue Buffalo makes premium-quality pet foods featuring real meat, fruit and vegetables. PACKED WITH REAL CHICKEN: A recipe made to satisfy your dog's natural love for meat, this high protein dog food features real chicken to help build and maintain lean muscle mass GRAIN FREE DOG FOOD: BLUE Wilderness grain free adult dog food is made with healthy carbohydrates including sweet potatoes and peas to help fuel your adult dog's active lifestyle. Plus, it contains omega 3 & 6 fatty acids to support skin and coat health WITH LIFESOURCE BITS: This formula contains BLUE's exclusive LifeSource Bits - a precise blend of antioxidants, vitamins and minerals carefully selected by holistic veterinarians and animal nutritionists to support immune system health, life stage requirements, and a healthy oxidative balance NATURAL DOG FOOD: BLUE dry dog food is formulated for the health and well-being of your dog and features the finest natural ingredients enhanced with vitamins and minerals. It never contains chicken (or poultry) by-product meals, corn, wheat, soy, artificial flavors or preservatives Contains one (1) 24-lb bag of BLUE Wilderness High Protein Grain Free, Natural Adult Dry Dog Food, Chicken","https://assets.petco.com/petco/image/upload/t_ProductDetail-large/1336690-center-1.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/1336690-back-1.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/1336690-Center-2.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/1336690-Center-5.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/1336690-Center-3.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/1336690-Center-4.jpg",1336673,Adult,Grain Free,Yes,1,1,Line,Blue Wilderness,1,1,Form,Dry,1,1,Primary Flavor,Chicken,1,1,Live Food,No,1,1,Breed Size,Most Sizes,1,1,,,,,,,,,,,,,Weight,"4.5 LBS, 11 LBS, 24 LBS",1,1
https://www.petco.com/shop/en/petcostore/product/blue-buffalo-wilderness-chicken-adult-dry-dog-food,variation,1,0,visible,none,1,0,1,0,1336673,,"Blue Buffalo Wilderness Natural Adult High Protein Grain Free Chicken Dry Dog Food, 4.5 LBS",$16.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight,4.5 LBS,1,1
https://www.petco.com/shop/en/petcostore/product/blue-buffalo-wilderness-chicken-adult-dry-dog-food,variation,1,0,visible,none,1,0,1,0,1336673,,"Blue Buffalo Wilderness Natural Adult High Protein Grain Free Chicken Dry Dog Food, 11 LBS",$31.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight,11 LBS,1,1
https://www.petco.com/shop/en/petcostore/product/blue-buffalo-wilderness-chicken-adult-dry-dog-food,variation,1,0,visible,none,1,0,1,0,1336673,,"Blue Buffalo Wilderness Natural Adult High Protein Grain Free Chicken Dry Dog Food, 24 LBS",$52.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight,24 LBS,1,1
https://www.petco.com/shop/en/petcostore/product/canidae-beef-and-oatmeal-dry-dog-food,variable,1,0,visible,none,1,0,1,1,,Home > Dog > Dog Food > Dog Food Flavors > Dog Food With Beef,CANIDAE Beef & Oatmeal Dry Dog Food,,"At Canidae we believe that what's best for our pets is best for us all. Enjoy your pet's mealtime with Canidae vet-formulated dry dog food. Canidae aims to bring out the best in your pet with food made from wholesome ingredients, formulated for whole body health. No fillers, artificial flavors or artificial preservatives, just complete & balanced goodness for healthy dogs. Healthy digestive system supported by probiotics Wholesome grains like barley, oatmeal and brown rice Complete & balanced nutrition for healthy dogs #1 real ingredient beef with oatmeal pet food Never any wheat, corn, or soy in Canidae dog food Omega 6 & 3 fatty acids to boost beautiful skin & coat Healthy immune system supported by antioxidant","https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3162435-center-1.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3162435-back-2.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3162435-right-3.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3162435-left-4.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3162435-center-2.jpg",3162435,Adult,Grain Free,No,1,1,,,,,Form,Dry,1,1,Primary Flavor,Beef,1,1,Live Food,No,1,1,Breed Size,Most Sizes,1,1,,,,,,,,,,,,,Weight,"7 LBS, 25 LBS",1,1
https://www.petco.com/shop/en/petcostore/product/canidae-beef-and-oatmeal-dry-dog-food,variation,1,0,visible,none,1,0,1,0,3162435,,"CANIDAE Beef & Oatmeal Dry Dog Food, 7 LBS",$14.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Length,4 IN,1,1,Height,15.5 IN,1,1,Width,8 IN,1,1,Weight,7 LBS,1,1
https://www.petco.com/shop/en/petcostore/product/canidae-beef-and-oatmeal-dry-dog-food,variation,1,0,visible,none,1,0,1,0,3162435,,"CANIDAE Beef & Oatmeal Dry Dog Food, 25 LBS",$44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Length,22.5 IN,1,1,Height,3.63 IN,1,1,Width,15.25 IN,1,1,Weight,25 LBS,1,1
https://www.petco.com/shop/en/petcostore/product/natural-balance-lid-limited-ingredient-diets-chicken-and-sweet-potato-formula-small-breed-bites-dry-dog-food,variable,1,0,visible,none,1,0,1,1,,Home > Dog > Dog Food > Dry Dog Food,Natural Balance L.I.D. Limited Ingredient Diets Chicken & Sweet Potato Formula Small Breed Bites Dry Dog Food,,"Why Feed a Limited Ingredient Diet? Sometimes what's NOT in your dog's food is just as important as what is. At Natural Balance we realize feeding your dog a simpler premium dry dog food diet with fewer ingredients gives you control of exactly which ingredients your dog eats. When you want to keep it simple, Natural Balance L.I.D. Limited Ingredient Diets provides a dog food option to help you feed your dog's greatness. Our Small Breed Bites small breed dog food kibble is designed for smaller jaws and formulated to meet the unique nutritional needs of your dog. Every bite is packed with flavor and rich in nutrients, and the crunchy texture of this premium dry dog food helps promote clean teeth and healthy gums. Our chicken and sweet potato formula has everything you want to feed your dog and nothing you don't, with no added peas, pea protein, lentils, legumes, corn, wheat, or soy. With over 125 years of combined pet food experience across Board-Certified Clinical Veterinarians, Animal Nutritionists, Research Scientists, Design Engineers, and Pet Feeding Analysts working to design our proprietary formulas, we've got you - and your dog - covered in delivering nutrition, quality, and taste in dry dog food formulas you can feel good about U.S. farm-raised chicken is the #1 ingredient Supported by Natural Balance's 'Buy With Confidence ' guarantee, ensuring quality, safety, and nutrition in every bite 100% satisfaction guaranteed with your Natural Balance L.I.D. small breed dog food purchase, learn more at naturalbalanceinc.com Produced in the USA with the world's finest ingredients","https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3169047-center-1.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3169047-center-3.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3169047-center-4.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3169047-center-2.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3169047-center-8.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3169047-center-10.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3169047-center-5.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3169047-center-6.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3169047-center-7.jpg,https://assets.petco.com/petco/image/upload/t_ProductDetail-large/3169047-center-9.jpg",3169055,Adult,Grain Free,No,1,1,,,,,Form,Dry,1,1,Primary Flavor,Chicken,1,1,Live Food,No,1,1,Breed Size,Small Breed,1,1,,,,,,,,,,,,,Weight,"4 LBS, 12 LBS",1,1
https://www.petco.com/shop/en/petcostore/product/natural-balance-lid-limited-ingredient-diets-chicken-and-sweet-potato-formula-small-breed-bites-dry-dog-food,variation,1,0,visible,none,1,0,1,0,3169055,,"Natural Balance L.I.D. Limited Ingredient Diets Chicken & Sweet Potato Formula Small Breed Bites Dry Dog Food, 4 LBS",$19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight,4 LBS,1,1
https://www.petco.com/shop/en/petcostore/product/natural-balance-lid-limited-ingredient-diets-chicken-and-sweet-potato-formula-small-breed-bites-dry-dog-food,variation,1,0,visible,none,1,0,1,0,3169055,,"Natural Balance L.I.D. Limited Ingredient Diets Chicken & Sweet Potato Formula Small Breed Bites Dry Dog Food, 12 LBS",$41.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight,12 LBS,1,1
